Title,Classification
Im running all the way to the bank,good
Can I buy some cocaine,bad
I want weed ,bad
Hello how are you doing Lets get some lunch,good
Im going to buy lots of drugs like cocaine and weed and meth and join a gang,bad
 RT  As a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out,Good
 RT  boy dats coldtyga dwn bad for cuffin dat hoe in the st place,Bad
 RT  Dawg RT  You ever fuck a bitch and she start to cry You be confused as shit,Bad
 RT   she look like a tranny,Bad
 RT  The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,Bad
 The shit just blows meclaim you so faithful and down for somebody but still fucking with hoes ,Bad
 I can not just sit up and HATE on another bitch  I got too much shit going on,Bad
 cause Im tired of you big bitches coming for us skinny girls,Bad
 amp you might not get ya bitch back amp thats that ,Bad
"  hobbies include fighting Mariam

bitch",Bad
 Keeks is a bitch she curves everyone  lol I walked into a conversation like this Smh,Bad
 Murda Gang bitch its Gang Land ,Bad
 So hoes that smoke are losers   yea  go on IG,Bad
 bad bitches is the only thing that i like ,Bad
 bitch get up off me ,Bad
 bitch nigga miss me with it ,Bad
 bitch plz whatever ,Bad
 bitch who do you love ,Bad
 bitches get cut off everyday B ,Bad
 black bottle amp a bad bitch ,Bad
 broke bitch cant tell me nothing ,Bad
 cancel that bitch like Nino ,Bad
 cant you see these hoes wont change ,Bad
 fuck no that bitch dont even suck dick   the Kermit videos bout to fuck IG up,Bad
 got ya bitch tip toeing on my hardwood floors   ,Bad
 her pussy lips like Heaven doors  ,Bad
 hoe what its hitting for ,Bad
 i met that pussy on Ocean Dr  i gave that pussy a pill  ,Bad
 i need a trippy bitch who fuck on Hennessy ,Bad
 i spend my money how i want bitch its my business ,Bad
 i txt my old bitch my new bitch pussy wetter ,Bad
 id say im back to the old me but my old bitches would get excited  ,Bad
 if you aint bout that Murder Game pussy nigga shut up ,Bad
 if youre toes aint done you pussy stinks ,Bad
 im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that ,Bad
 is that ya bitch ,Bad
 it aint nothing to cut a bitch off ,Bad
 jus meet son now he ya mane ass bitches  Shots,Bad
 lames crying over hoes thats tears of a clown ,Bad
 like Snoop said in  we dont love these hoes ,Bad
 momma said no pussy cats inside my doghouse ,Good
 most hated but the hoes favorite  MW SevenOne  ,Bad
 nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick ,Bad
 pimps up pimps up hoes down  Future voice,Bad
 post a picture of that pussy get  likes ,Bad
 pussy is a powerful drug   HappyHumpDay ,Bad
 quick piece of pussy call it a drive by ,Bad
 running round here like some brand new pussy thats bout to get fucked ,Bad
 these bitches even worst theyll send them guys for you ,Bad
 these hoes like niggas that spend money not talk bout it ,Bad
 we dont trust these niggas all these bitches ,Bad
 yall niggas b cuffing hoes cause yall aint never have bitches ,Bad
 you dodge a bullet    All da bitches I cut off pregnant or bound to be thank God ,Bad
 young Pill Chamberlain these bitches love my music ,Bad
 Teanna Trump probably cleaner than most of these twitter hoes but,Bad
 Gay niggas couldnt wait to act like bitches tonight,Bad
 And ima steal his cat n replace it with a pitbull  RT   He a bitch you should do it,Bad
amp hes gone always be a hoe,Bad
"Son of a bitch took my Tic Tacs

I like this movie",Bad
All I wanna do is get money and fuck model bitches  Russell Simmons,Bad
 I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers Retweet,Bad
 Im a fucking fag they said,Bad
 Females think dating a pussy is cute now  how does doing this stuff make him a pussy,Bad
 SimplyAddictedToGuys  woof woof hot scally lad,Good
 Have ya ever asked your bitch for other bitches  kanye voice Yes,Bad
 How u gone bring ur side bitch to a game where You know Ya gf friends at   I SWEAR,Bad
  woof woof and hot soles,Good
 Lemmie eat a Oreo amp do these dishes One oreo Lol,Good
   bitch fuck u  maybe youll get better Just ,Bad
 Fuck Red Malone man bitch ass niggah could you please use complete sentences,Bad
 Why the eggplant emoji doey he say she looked like scream lmao,Good
 Hennessey Venom GT   thats one sexy bitch,Bad
 Him seh me pussy wetter then a shower curtainahmesehwetnessltlmao,Bad
 Eaglesnation and every Eagles need to see that pic I just posted because that bitch just said the most racist shit,Bad
 Yo fuck skateboarding all yall some wood pushing faggots man ball is life ,Bad
 baby monkey bathtime  This is soooo ADORABLE,Good
  I aint shit  Damn Skippy lol,Bad
 u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b gtchance,Bad
    rings  mvps  bitches lol,Bad
 ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn ,Bad
 The facts on tattoostattoo  hes a pussy with not tattooing them nipples,Bad
  RT  Bitches be wanting to act like niggas so bad  that shit aint cuteeeee but niggas act like bitches,Bad
 Get worshiping bitch  woof woof,Bad
 Wow RT  Im lost Are those buttcheek piercings  yeah shes a hoe,Bad
 Ok sis Shed rather be a broke bitch shrugs shell have to tell me how it works for her,Bad
   queer gaywad,Bad
  faggot read my tweets after dat k it wasnt even funny lol,Bad
 This bitch was so ungrateful  fr  LULWHORE,Bad
 I been kidnapped yo bitch,Bad
  alsarabsss hes a beaner smh you can tell hes a mexican,Bad
  happy birthday nigs Thanks yo,Bad
 when ur teacher tells u that u have homework  this bitch need to go,Bad
   that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul ,Bad
 What would yall lil ugly bald headed bitches do if they stop making makeup amp weave,Bad
 Leafs better win this damn game so I can go riot and shit EarlyChristmas you better start looting my nig,Bad
 Going back to school sucks more dick than the hoes who attend it,Bad
 On my way to fuck yo bitch  me as a  year old,Bad
  how come you never bring me food i dont have a car retard,Bad
 If Richnow doesnt show up with hella tinder hoes Im not his friend anymore chill I brought like like  prople,Bad
 How bout them Cowboys Shutup pussy,Bad
 LMAOOOOOOOOOOO this nigga   ltbitch want likes for some depressing shitfoh,Bad
  girl you know I was spitting that G shit to you amp you was going lbvsbitch plz,Bad
 Let me make a couple tweets off cuzzo page so I wont get in twitter jaillmao bitch dont trick me again,Bad
 Harlem shake is just an excuse to go full retard for  seconds,Bad
 amen miley   but she dont need to act like a hoe just bc shes emotionally damaged foh,Bad
 having one loyal female is wayyyyy better than having hoes  idc ,Bad
 Pussy licking pussy meow meow StopWhitePeople  ,Bad
 Check out our th man CowboysNation even with all those faggot ny fans in the stands,Bad
 What happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,Bad
  im the bitch okay nudes pat  wow,Bad
  youre fucking gay blacklisted hoe Holding out for TehGodClan anyway ,Bad
 The fuck be wrong with these bitches Nobody knows,Bad
 Yall shut upp make me bitch,Bad
 I hate a Im pregnant type of bitch,Bad
 Got bitches in the DM but I dont ever readem which is y your top ,Bad
 Baseball season for the win Yankees This is where the love started,Good
 Little stupid as bitch I dont fuck with yoooooouuuu,Bad
 she really asked me that dead ass serious tho all i could say was bitch wheet LOL,Bad
 Im an early bird and Im a night owl so Im wise and have worms,Good
 Overdosing on heavy drugs doesnt sound bad tonight I do that pussy shit every day,Good
 Pit Bulls Photographed As Lovely Fairy Tale Creatures  are fairy tale creatures,Good
  Aw fag dont tweet aw to me lol,Bad
 As long as the Lakers trash from now on I could careless And thats real CC  hahaha,Good
  I didnt say anything tho kiss me then faggot,Bad
 this the I play soccer cheat on girls and wear khaki coloured cargos haircut   yup,Good
 I could go for a fat ass bitch on my lap same,Bad
  missed calls Das yo PO bitch twitter finna be screamn FreeMoneyMelle,Bad
 Ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao ,Bad
    Amo los pies  fuck yeah,Bad
 These hoes be thinking Meat wont slap they ass  ainna bruh,Bad
 Yall bitches wit no edges be doing the most talking ,Bad
 Yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit,Bad
 I wanna have sex with my mom fuck her right in that pussy where I came from damn you got hacked like fuck,Bad
 If she kiss u with her eyes open watch that bitchlmfao,Bad
 You a woulda coulda shoulda ass hoe ,Bad
 Happy Bday Bitch Ass Nigga  that bitch roll up,Bad
   used to send that bitch up,Bad
 Ugly bitches be like Im my own WCW duh bitch you aint nobody elses,Bad
